slug,name,brand,releasedAt,score,msrpGbp,plate,discontinued,breathability,toebox-durability,heel-padding-durability,outsole-durability,forefoot-stack,heel-stack,drop,outsole-thickness,outsole-hardness,midsole-softness,midsole-softness-in-cold,difference-in-midsole-softness-in-cold,stiffness,stiffness-in-cold,difference-in-stiffness-in-cold,torsional-rigidity,heel-counter-stiffness,lateral-stability-test,weight,midsole-width-in-the-forefoot,midsole-width-in-the-heel,toebox-width-at-the-widest-part,toebox-width-at-the-big-toe,internal-length,insole-thickness,tongue-padding,lug-depth,secondary-foam-softness,midsole-softness-in-the-forefoot,price,toe-guard-durability,size-rating,toebox-width-widest-part,toebox-width-big-toe,toebox-height,rocker,flexibility-stiffness,forefoot-traction,heel-traction,forefoot-traction-stop,energy-return-heel,energy-return-forefoot,shock-absorption-heel,shock-absorption-forefoot,midsole-softness-22,midsole-softness-in-cold-22,secondary-foam-softness-22,midsole-softness-in-the-forefoot-22,torsional-rigidity-23,insulation,breathability-25,sweat-on-skin,sweat-in-shoe,sweat-evaporated,drying-potential
adidas-duramo-10,adidas Duramo 10,adidas,2022-01-24,71,70,none,false,,,,,22.9,31.6,8.7,2.3,78,21.8,27,23.9,32,59.2,85,4,1,,292,109.8,87.8,98.3,,,3.7,3.6,,,,70,,2.87,,,,,,,,,,,,,,,,,,,,,,,
adidas-duramo-speed,adidas Duramo Speed,adidas,2024-01-01,68,90,none,true,5,1,2,0.59,26.7,32.7,6,2,86.9,21,25.4,20.9,28.3,33.5,18.4,4,3,,261,114.9,85.2,102.1,77.7,269,4,7,,,,90,,2.78,,,,,18.8,0.47,,,43.72,47.76,110.96931698385,110.55587493919,35.2,,,,,,,,,,
adidas-duramo-speed-2,adidas Duramo Speed 2,adidas,2026-01-01,72,90,none,false,4,2,3,0.7,24.9,33,8.1,2.5,,22.9,28.9,26.2,,,,5,3,,258,118.1,85.9,,,265.4,3.9,2.9,,,,90,,3.43,96.5,74.7,23,,14.8,0.56,,,44.7,49.4,120.93360744951,96.237128284092,45.6,,,,17.4,,,,,,
adidas-fluidflow-20,adidas Fluidflow 2.0,adidas,2023-01-01,58,80,none,false,3,3,4,0.84,18.3,26.4,8.1,4.3,85.4,25.3,30.9,22.3,18.5,27.6,49.6,1,1,,316,109.3,89.6,101.5,78.8,270.2,3.3,4.9,,,,80,,3.55,95.1,73.1,27.9,,,,,,,,,,,,,,,,,,,,
adidas-galaxy-6,adidas Galaxy 6,adidas,2023-01-01,67,60,none,true,2,1,1,1.1,22.9,33.9,11,3,76.4,22.9,31.3,36.6,21.5,36.8,71.3,4,1,,332,120.3,103.7,107.2,81.8,,3.8,3.5,,,,60,,2.78,,,,,17.6,0.24,,,51.88,50.97,111.35857461024,90.671695923401,,,,,,,,,,,
adidas-galaxy-7,adidas Galaxy 7,adidas,2026-01-01,70,60,none,false,2,3,1,2.6,27.3,34.9,7.6,3.2,,,,15,,,,4,3,,309,117.6,97.5,,,274.4,5.2,8.9,,,,60,,3.06,99.1,73.1,27.5,,15.3,0.57,,,49.5,52.76,112.13276519399,101.12245929821,38.1,43.8,,,13,,,,,,
adidas-hyperboost-edge,adidas Hyperboost Edge,adidas,2026-03-05,83,200,none,false,2,3,5,0.6,38.1,44.6,6.5,2,,,,9.2,,,,5,2,,247,117.7,91.6,,,271.1,2.7,6.5,,,,200,,3.1,97.4,71.4,24.8,,19.8,0.89,,,73.6,72.83,153.8698261271,144.75969889983,32.5,35.5,,,14.5,,62,7,42,50,47
adidas-hyperboost-run,adidas Hyperboost Run,adidas,2026-01-01,84,180,none,false,,3,3,0.8,31.8,38.6,6.8,1.8,,,,8.8,,,,,2,,247,117,89.1,,,275.7,2.8,5.5,,,,180,,,96.9,73.6,23.7,,18.5,,,,71.6,72.8,146.73514306676,133.15579227696,38.7,42.1,,,13.7,,54,,,,38
adidas-pureboost-23,adidas Pureboost 23,adidas,2023-01-01,68,140,none,false,5,2,5,0.86,16.1,27.6,11.5,3,75.1,13.5,15.8,17,13.4,15,11.9,1,4,,305,115,92,102.4,80.4,270.9,3.1,4.9,,,,140,,2.67,,,,,7.5,0.28,,,69.52,68.58,108.41518679937,51.98018515342,,,,,,,,,,,
adidas-pureboost-5,adidas Pureboost 5,adidas,2025-01-01,79,130,none,true,4,4,4,1,22,31.2,9.2,3,73,20.9,25.1,20.1,,,,3,3,,254,112.8,94.1,,,,3.4,7.4,,,,130,,2.89,97.1,77.5,23.3,,13,0.61,,,67.67,67.22,124.36109487508,102.21813349688,39.6,,,,,,,,,,
adidas-questar,adidas Questar,adidas,,65,75,none,true,5,,,,22.1,32.6,10.5,3.2,81.7,27.9,34.62,24.2,33,49,48.6,4,3,,310,118.9,96.1,96.6,,,3.3,8,,,,75,,3.1,,,,,,,,,,,,,,,,,,,,,,,
adidas-questar-3,adidas Questar 3,adidas,2025-01-01,73,75,none,false,4,3,4,0.78,25,33.5,8.5,3.5,84,21.3,30,41.2,,,,5,4,,295,114.3,95.7,,,,4.1,4.7,,,,75,,2.79,97.4,72.8,28,,14.2,0.33,,,54.08,56.47,111.45911122505,97.70586626021,38.9,,,,,,,,,,
adidas-racer-tr21,adidas Racer TR21,adidas,2023-01-01,55,75,none,false,3,1,1,1.24,19,31.9,12.9,3.6,80,21,28.3,34.5,13.7,21.9,59.5,3,2,,318,113.9,95,100.4,79.5,272.9,3.4,2.9,,,,75,,3.19,,,,,,,,,,,,,,,,,,,,,,,
adidas-runfalcon,adidas Runfalcon,adidas,,61,60,none,true,1,,,,17.6,26.5,8.9,3.2,81.5,26.5,36.8,38.7,21.3,37.8,77.9,2,3,,264,109.5,89.7,94.4,,,4,4,,,,60,,2.72,,,,,,,,,,,,,,,,,,,,,,,
adidas-runfalcon-3,adidas Runfalcon 3,adidas,2023-01-01,64,65,none,true,3,1,1,0.64,18,31.6,13.6,3,81.9,24.3,30.1,24.2,17.7,26.8,51.8,3,2,,283,114,94.8,100.4,80.4,269.2,3.7,8,,,,65,,2.88,,,,,,,,,,,,,,,,,,,,,,,
adidas-runfalcon-5,adidas Runfalcon 5,adidas,2024-01-01,62,65,none,false,3,1,1,1.49,21.8,31.2,9.4,2.7,81.9,26.1,30.5,16.9,18.4,21.2,15,2,3,,275,109.8,91.7,100.3,77,272,4,9.7,,,,65,,2.79,98.9,71.3,26.6,,12,0.12,,,52.16,52.03,111.87183962053,81.774841152371,40.5,,,,,,,,,,
adidas-solarboost-5,adidas Solarboost 5,adidas,2024-01-01,73,120,none,false,2,3,5,2.51,23.1,32.9,9.8,2,88.6,33.5,34.1,1.9,21.3,22.2,4,3,3,,293,117,98.3,100.2,80.7,280.4,5.7,10.2,,,,120,,3.1,,,,,,,,,71.95,71.48,120.65637065637,94.976683224268,,,,,,,,,,,
adidas-supernova-2,adidas Supernova 2,adidas,2023-01-01,70,100,none,true,5,1,1,5.78,18.2,32.4,14.2,2.9,76.3,29.8,35,17.4,14,22,57.1,3,3,,276,114,97.2,100.4,80.4,270.3,4.5,9,,27,,100,,2.72,,,,,9.4,0.21,,,61.85,54.35,103.43721878006,70.245931004447,,,,,,,,,,,
adidas-supernova-3,adidas Supernova 3,adidas,2024-01-01,70,100,none,false,5,4,4,3.43,18.2,30.7,12.5,2.5,81,27,29.6,9.7,17.6,21.4,21.3,3,3,,274,114.8,98.6,102.3,78.9,267.2,5,10,,24.4,,100,,2.87,,,,,,,,,,,,,,,,,,,,,,,
adidas-supernova-plus,adidas Supernova+,adidas,,68,120,none,false,,,,,21.4,30.7,9.3,3,76.5,25.6,28.3,10.6,28.2,39.7,40.9,3,3,,335,110.3,88.9,100.4,,,4.4,4.1,,,,120,,3.2,,,,,11.8,0.65,,,64,63.77,98.299420033422,78.483079048157,,,,,,,,,,,
adidas-supernova-prima,adidas Supernova Prima,adidas,2024-01-01,84,160,none,true,4,3,1,2.08,27.2,36.1,8.9,2.2,82.8,20,22,10,23,26.2,13.9,4,5,,281,114.6,88,102.3,80.8,272.4,4.2,7.7,,33,,160,,2.99,96.6,74.9,28.1,,12.4,0.43,,,66.99,65.43,128.8859101923,115.18348729526,35.6,,75.2,,,,,,,,
adidas-supernova-prima-2,adidas Supernova Prima 2,adidas,2026-01-15,87,160,none,false,2,4,3,2.1,28.7,36.7,8,2,,,,7.1,,,,4,5,,264,115.3,88.9,,,270.9,4.7,7.2,,,,160,,3.3,98.9,72.7,25.8,,13.7,0.69,,,66.9,69.01,127.38853503185,110.36309458117,33.7,36.1,45.2,,10.8,,,,,,
adidas-supernova-rise,adidas Supernova Rise,adidas,2024-01-01,85,140,none,true,4,3,4,0.73,22.8,32.5,9.7,2.1,76.1,20.1,22.6,12.4,14.9,18.9,26.7,2,5,,278,112.8,86.4,101.3,83.3,269.3,5,9.9,,,,140,,2.52,99,76.5,29.7,,11.2,0.58,,,71.18,70.23,121.28121475265,92.438528378628,35,,50,,,,,,,,
adidas-supernova-rise-2,adidas Supernova Rise 2,adidas,2025-01-01,86,140,none,true,4,3,4,1.1,24,33.5,9.5,2.5,79.2,21,22.2,5.7,17.6,20,13.6,3,4,,257,113.9,86,,,,4.4,9.4,,,,140,,2.93,98.7,77.7,28.4,,7.3,0.38,,,69.47,68.12,126.69774984796,95.742338219384,32.3,,54.6,,,,,,,,
adidas-supernova-rise-3,adidas Supernova Rise 3,adidas,2026-01-01,87,140,none,false,3,4,1,0.81,27.2,35,7.8,2.1,,,,25.9,,,,4,5,,264,116.4,93.3,,,269.1,4.6,6.6,,,,140,,2.66,97.6,74.5,29,,16.6,0.85,,,58.8,62.8,140.09526478005,112.18308279112,28.6,36,,,11.4,,,,,,
adidas-supernova-solution,adidas Supernova Solution,adidas,2024-01-01,83,140,none,true,4,2,1,1.18,23.1,33.1,10,2.4,80.3,20.8,22.5,8.2,16.2,18.1,11.7,3,4,,279,114,88.8,100.5,79.8,271,4.8,11.2,,31,,140,,2.99,,,,,9.4,0.42,,,68.31,68.6,123.10267994534,91.160195812101,34.7,,49.7,,,,,,,,
adidas-supernova-solution-2,adidas Supernova Solution 2,adidas,2026-01-01,84,140,none,true,3,3,3,0.92,22.2,32.4,10.2,2.3,,15.8,16.6,5.4,,,,3,5,,261,114.3,89.2,,,271.2,3.8,7.4,,24.1,,140,,,97.1,77.1,26.6,,7.1,0.52,,,67.6,68.1,127.12941774727,94.688003030016,,,,,8.5,,,,,,
adidas-supernova-solution-3,adidas Supernova Solution 3,adidas,2026-01-01,80,150,none,false,2,3,2,1.3,26.4,34.7,8.3,2.6,,,,24.3,,,,4,5,,281,114.7,91.1,,,270.7,4.5,5,,,,150,,,97.5,75.3,28.7,,15.2,0.72,,,51.9,55.28,131.61358252172,115.0747986191,33.8,42,48.5,,12.6,,,,,,
adidas-ultra-boost,adidas Ultraboost 1.0,adidas,2015-02-01,74,180,none,true,,,,,21.2,33.9,12.7,5.8,83.8,35,37.2,6.2,27.6,35.1,27,,,,301,117.7,98.3,104,,,3.8,5.9,,,,180,,2.78,,,,,,,,,66.91,65.56,122.00775969352,88.911017853332,,,,,,,,,,,
adidas-ultraboost-22,adidas Ultraboost 22,adidas,2021-12-09,73,190,none,true,,,,,21.2,33.9,12.7,5.8,83.8,35,37.2,6.2,27.6,35.1,27,,,,301,117.7,98.3,104,,,3.8,5.9,,,,190,,2.93,,,,,,,,,,,,,,,,,,,,,,,
adidas-ultraboost-5,adidas Ultraboost 5,adidas,2024-01-01,83,180,none,false,5,3,5,0.79,24.6,35.2,10.6,2.8,69.1,17,19.88,16.9,18.7,22.25,19,4,3,,292,115.6,94.3,103,81.8,269.8,3.1,1.2,,,,180,,2.97,98.4,78.6,27.9,,17.3,0.46,,,66.03,69.45,126.48461314681,112.04481792717,38.2,,,,,,,,,,
adidas-ultraboost-5-x,adidas Ultraboost 5X,adidas,2025-01-01,85,180,none,false,3,5,5,0.41,24.2,34.6,10.4,2.6,79.4,16.4,22,33.9,18.5,20.2,9.5,4,3,,266,115.4,94.5,,,,3.1,1.5,,,,180,,3.08,96.2,75.4,23.9,,11.4,0.52,,,66.02,70.13,128.68025530163,109.85389432055,38.1,,,,,,,,,,
adidas-ultraboost-light,adidas Ultraboost Light,adidas,2023-03-03,77,190,none,true,3,4,5,0.71,18.2,30.1,11.9,2.4,76.8,15.5,19.8,27.4,18.6,24.4,31.3,3,3,,305,117,93.7,102.9,81.6,270.5,2.8,1.3,,,,190,,2.29,96.4,76.1,24,,11.3,0.46,,,66.67,72.95,121.7685666622,78.219107363547,,,,,,,,,,,
adidas-ultrabounce,adidas Ultrabounce,adidas,2023-01-01,68,80,none,false,5,2,3,1.14,19,30.3,11.3,3.2,86.6,24.8,34.3,38.3,20.4,32.2,57.8,3,2,,326,114.4,92.2,97.9,78.5,272,3.7,8.5,,,,80,,3,96.2,75.3,27.1,,14.2,0.18,,,51.47,50.52,103.87451958035,66.323992704361,,,,,,,,,,,
adidas-ultrarun-5,adidas Ultrarun 5,adidas,2025-01-01,71,80,none,false,3,4,4,1.14,24.8,34.3,9.5,2.8,78.5,23.5,30.5,29.8,,,,3,3,,295,116.4,95.3,,,,5.2,11.5,,,,80,,2.98,97.6,74.7,27.5,,15,0.41,,,51.6,50.43,110.38624145886,87.783210583144,39.5,,,,,,,,,,
allbirds-tree-dasher-2-0,Allbirds Tree Dasher 2,Allbirds,2024-01-01,66,135,none,false,5,5,4,1.96,22.3,31.6,9.3,4.7,80.4,27,33,22.2,19.5,23.5,20.6,2,2,,291,119.8,98.9,103.6,81,265,4.9,2.8,,,,135,,2.62,99.7,79.9,27.4,,,,,,,,,,,,,,,,,,,,
allbirds-tree-flyer-2,Allbirds Tree Flyer 2,Allbirds,2024-01-01,64,160,none,false,4,5,2,0.7,24,32.1,8.1,5,82.9,22,24.5,11.4,24.1,26.1,8.2,4,3,,293,116,88.8,100.5,77.6,273,3.8,3.4,,,,160,,2.67,95.7,71.6,24.8,,,,,,,,,,,,,,,,,,,,
allswifit-active-5-k,ALLSWIFIT Active5K,ALLSWIFIT,2026-01-01,80,80,none,false,3,1,4,1.17,30.7,40.5,9.8,3.2,,,,27.9,,,,3,3,,292,120.3,91.6,,,268.3,5.6,4.5,,,,80,,,94.4,73.3,26.3,,17.7,0.65,,,63.1,63.77,141.48273910583,120.80212611742,34,43.5,,,13.6,,,,,,
altra-escalante-3,Altra Escalante 3,Altra,,74,140,none,true,4,,,,24.8,25,0.2,3.6,80,23.8,31.3,31.5,25.7,54.3,111.1,2,1,,269,111.5,82.8,98.8,,,4.5,5.9,,,,140,,2.89,,,,,,,,,,,,,,,,,,,,,,,
altra-escalante-4,Altra Escalante 4,Altra,2024-01-01,82,130,none,false,3,4,4,0.34,22.4,23.8,1.4,4.6,86.2,27.8,36.3,30.6,16,20.2,26.4,1,2,,237,118.3,82.5,103.6,90.8,270.2,5.5,1.5,,,,130,,2.73,101,82.4,25.4,,8.2,0.58,,,58.48,62.59,101.08872557444,83.159391605891,39.9,,,,,,,,,,
altra-escalante-racer,Altra Escalante Racer,Altra,2018-09-01,71,140,none,true,5,4,4,1.05,18.5,19,0.5,2.4,75.6,30.8,36.9,19.9,10.9,13.8,26.4,1,2,,208,113.3,78.6,101.9,92.5,271.2,5.7,3.1,,,,140,,2.72,,,,,,,,,,,,,,,,,,,,,,,
altra-escalante-racer-2,Altra Escalante Racer 2,Altra,2024-01-01,78,140,none,false,5,4,2,0.31,21.4,22.5,1.1,4.6,86.1,28.3,37,31,15,20.2,34.3,1,2,,224,118.4,83.3,104.2,92,270,5.4,1.5,,,,140,,2.97,102.4,83.3,34.1,,,,,,,,,,,,,,,,,,,,
altra-experience-flow,Altra Experience Flow,Altra,2024-01-01,80,140,none,true,4,5,4,1.17,26.6,30.7,4.1,2.5,78.8,19.1,23.63,23.5,20.6,28.9,40.3,3,3,,235,118.4,93.2,101,87.6,266.2,4.7,9.3,,,,140,,2.69,98.5,80.6,29,,13.5,0.53,,,46.15,49.35,117.07819652746,102.51363431336,,,,,,,,,,,
altra-experience-flow-2,Altra Experience Flow 2,Altra,2025-01-01,87,140,none,true,3,2,4,1.7,25.9,30.3,4.4,3.1,,14.1,19.5,38.3,,,,3,3,,235,112.2,87.2,,,,4.4,10.3,,,,140,,2.43,99.1,82.6,24.6,,10,0.55,,,60.3,68.1,126.69453946535,103.34849111203,30.9,,,,11.2,,,,,,
altra-experience-flow-3,Altra Experience Flow 3,Altra,2026-01-01,75,145,none,false,2,4,3,1.3,25.8,31,5.2,3.9,,,,27.5,,,,,2,,241,118.1,94.1,,,268.8,5.4,6.4,,,,145,,3.07,99.3,79.3,26,,8.6,0.7,,,46,52.8,126.66244458518,110.05943209333,30.6,39,,,9.2,,,,,,
altra-experience-form,Altra Experience Form,Altra,2024-01-01,79,145,none,false,4,3,2,1.24,25.9,29.9,4,3,80,20.1,29.1,44.8,21.5,24.5,14,3,3,,261,118.3,93.1,99.7,86.4,269.5,4.5,11,,,,145,,2.47,97.3,80.9,27.1,,,,,,,,,,,,,,,,,,,,
altra-fwd-via,Altra FWD VIA,Altra,2025-01-01,76,160,none,true,3,3,2,1.6,29.4,35.9,6.5,3.1,,22.5,29.3,30,,,,4,3,,254,118,95.9,,,,5,9,,,,160,,2.66,100,84.5,29.1,,14.5,0.48,,,48.6,52,121.63970319912,113.40440009072,44.3,,,,15.4,,,,,,
altra-fwd-via-2,Altra FWD VIA 2,Altra,2026-01-01,83,165,none,false,2,3,2,0.7,28.8,36.7,7.9,4,,,,16.2,,,,3,3,,272,113.2,92.6,,,268,4.8,10.4,,,,165,,3.17,101.4,82.4,26.4,,13.1,0.73,,,51.5,57,138.77324451846,112.98158400181,27.8,32.3,,,12.5,,,,,,
altra-paradigm-7,Altra Paradigm 7,Altra,2023-01-01,78,170,none,true,5,3,2,0.45,27.5,27.6,0.1,2.7,83.6,19.4,29.8,53.8,21.7,36.1,66.7,3,2,,264,113.8,92,99.1,86.7,268.6,4.4,5.6,,,,170,,2.91,99.8,81.7,29.9,,12.5,0.55,,,43,43.57,106.26992561105,106.46679300726,,,,,,,,,,,
altra-paradigm-8,Altra Paradigm 8,Altra,2025-01-01,79,170,none,false,3,4,4,0.9,27.3,29.4,2.1,4.4,,17.5,21,20,,,,3,2,,278,113.2,90.2,,,,5,9.9,,,,170,,2.69,95.8,82.3,26.2,,15.1,0.5,,,47.5,50.2,116.2250116225,108.67202782004,,,,,12.4,,,,,,
altra-provision-8,Altra Provision 8,Altra,2024-01-01,74,140,none,false,4,3,2,0.81,25.8,26,0.2,3,79.8,20.3,27.1,33.9,22.7,27.2,19.8,3,2,,273,117.9,91.1,99.8,88.2,,4.8,8.3,,,,140,,3.23,,,,,,,,,,,,,,,,,,,,,,,
altra-rivera-4,Altra Rivera 4,Altra,2024-01-01,78,130,none,false,3,3,1,0.72,28,28.4,0.4,3.1,80.3,19.8,25.1,27.2,18.7,25,33.6,2,2,,235,105,83.4,96.5,85.7,267.5,4.7,9,,,,130,,2.53,,,,,,,,,,,,,,,,,,,,,,,
